#struc haddock-score	RMSD
complex_61w.pdb -75.64336 1.591
complex_163w.pdb -73.7445 1.549
complex_124w.pdb -72.64561 1.591
complex_149w.pdb -72.09774 1.590
complex_173w.pdb -71.63232 1.639
complex_70w.pdb -71.54017 1.628
complex_198w.pdb -71.33252 1.562
complex_177w.pdb -71.11653 1.617
complex_146w.pdb -71.09488 1.628
complex_7w.pdb -70.509459 1.791
