#struc haddock-score  RMSD
complex_47w.pdb -81.1429 18.122
complex_9w.pdb -67.9463 17.873
complex_34w.pdb -67.87203 17.808
complex_107w.pdb -63.31635 15.248
complex_59w.pdb -62.82627 16.959
complex_102w.pdb -61.9967 3.815
complex_44w.pdb -61.456 17.656
complex_14w.pdb -60.64435 18.097
complex_54w.pdb -60.59318 17.810
complex_209w.pdb -60.4557 19.738
