Complex		HaddockScore RMSD
complex_258w.pdb"  { -69.7241 } 17.465
complex_142w.pdb"  { -59.75165 } 17.600
complex_148w.pdb"  { -57.59737 } 17.637
complex_149w.pdb"  { -56.17775 } 17.644
complex_93w.pdb"  { -41.78865 } 14.658
complex_77w.pdb"  { -41.606159 } 14.660
complex_333w.pdb"  { -40.15858 } 14.711
complex_378w.pdb"  { -41.23114 } 16.280
complex_361w.pdb"  { -39.78857 } 16.455
complex_287w.pdb"  { -36.27528 } 16.375

