#struc haddock-score	RMSD
complex_32w.pdb -65.65616 2.799
complex_176w.pdb -65.64496 2.846
complex_89w.pdb -63.627017 4.306
complex_95w.pdb -62.79967 2.784
complex_53w.pdb -61.54296 2.850
complex_35w.pdb -61.25095 3.184
complex_60w.pdb -60.83758 2.806
complex_55w.pdb -60.35314 2.805
complex_87w.pdb -59.99346 2.338
complex_3w.pdb -59.79036 2.427
