#struc haddock-score	RMSD
complex_12w.pdb -70.0605 18.115
complex_68w.pdb -69.76118 16.760
complex_101w.pdb -67.9921 18.029
complex_25w.pdb -66.0257 17.974
complex_2w.pdb -62.06062 16.569
complex_4w.pdb -61.14195 16.493
complex_41w.pdb -60.06292 10.029
complex_42w.pdb -58.79978 16.555
complex_254w.pdb -58.22497 17.917
complex_43w.pdb -57.19603 16.823
